,1960,1970,1980,1990,2000,2010,
jerry reed,0,2,0,0,0,0,"amos moses, when youre hot youre hot"
oliver,2,0,0,0,0,0,"jean, good morning starshine"
freda payne,0,2,0,0,0,0,"band of gold, bring the boys home"
sinead oconnor,0,0,0,1,0,0,nothing compares 2 u
air supply,0,0,8,0,0,0,"lost in love, all out of love, every woman in the world, the one that you love, sweet dreams, even the nights are better, here i am, making love out of nothing at all"
berlin,0,0,1,0,0,0,take my breath away
busta rhymes featuring janet,0,0,0,1,0,0,whats it gonna be
ambrosia,0,1,1,0,0,0,"how much i feel, biggest part of me"
eli young band,0,0,0,0,0,2,"crazy girl, even if it breaks your heart"
finger eleven,0,0,0,0,3,0,"one thing, paralyzer, paralyzer"
new kids on the block,0,0,4,2,0,0,"ill be loving you forever, hangin tough, you got it the right stuff, cover girl, step by step, this ones for the children"
trey songz featuring nicki minaj,0,0,0,0,0,2,"bottoms up, bottoms up"
robert miles,0,0,0,1,0,0,children
brian mcknight,0,0,0,2,1,0,"one last cry, back at one, back at one"
dirty vegas,0,0,0,0,1,0,days go by
twayne,0,0,0,0,0,1,nasty freestyle
neil sedaka,0,2,0,0,0,0,"laughter in the rain, breaking up is hard to do"
eddie money,0,1,3,0,0,0,"baby hold on, think im in love, take me home tonight, walk on water"
sean kingston,0,0,0,0,3,0,"beautiful girls, take you there, fire burning"
sam hunt,0,0,0,0,0,3,"leave the night on, take your time, house party"
train,0,0,0,0,3,3,"meet virginia, drops of jupiter tell me, calling all angels, hey soul sister, drive by, 50 ways to say goodbye"
no doubt,0,0,0,1,2,0,"just a girl, hella good, its my life"
john stewart,0,1,0,0,0,0,gold
pitbull featuring christina aguilera,0,0,0,0,0,1,feel this moment
the brothers johnson,0,2,1,0,0,0,"ill be good to you, strawberry letter 23, stomp"
adina howard,0,0,0,1,0,0,freak like me
